2013
0.2848,0.3926,0.5000,0.5043,0.5576,0.5640,0.6143,0.6264,0.6586,0.6730,0.6770,0.6873,0.8100,0.8649,0.9140,1.0000,
0.2813,0.3884,0.4957,0.5000,0.5533,0.5598,0.6102,0.6223,0.6547,0.6692,0.6732,0.6836,0.8073,0.8628,0.9127,1.0000,
0.2401,0.3390,0.4424,0.4467,0.5000,0.5065,0.5582,0.5709,0.6048,0.6202,0.6245,0.6356,0.7718,0.8355,0.8940,1.0000,
0.2354,0.3331,0.4360,0.4402,0.4935,0.5000,0.5518,0.5645,0.5986,0.6140,0.6183,0.6295,0.7671,0.8318,0.8915,1.0000,
0.2001,0.2887,0.3857,0.3898,0.4418,0.4482,0.5000,0.5129,0.5478,0.5638,0.5682,0.5799,0.7280,0.8007,0.8697,1.0000,
0.1920,0.2782,0.3736,0.3777,0.4291,0.4355,0.4871,0.5000,0.5350,0.5511,0.5555,0.5673,0.7177,0.7924,0.8638,1.0000,
0.1711,0.2509,0.3414,0.3453,0.3952,0.4014,0.4522,0.4650,0.5000,0.5162,0.5207,0.5326,0.6884,0.7684,0.8464,1.0000,
0.1622,0.2390,0.3270,0.3308,0.3798,0.3860,0.4362,0.4489,0.4838,0.5000,0.5045,0.5165,0.6744,0.7567,0.8379,1.0000,
0.1597,0.2357,0.3230,0.3268,0.3755,0.3817,0.4318,0.4445,0.4793,0.4955,0.5000,0.5119,0.6704,0.7533,0.8354,1.0000,
0.1534,0.2272,0.3127,0.3164,0.3644,0.3705,0.4201,0.4327,0.4674,0.4835,0.4881,0.5000,0.6597,0.7443,0.8287,1.0000,
0.0855,0.1317,0.1900,0.1927,0.2282,0.2329,0.2720,0.2823,0.3116,0.3256,0.3296,0.3403,0.5000,0.6002,0.7139,1.0000,
0.0586,0.0917,0.1351,0.1372,0.1645,0.1682,0.1993,0.2076,0.2316,0.2433,0.2467,0.2557,0.3998,0.5000,0.6243,1.0000,
0.0361,0.0573,0.0860,0.0873,0.1060,0.1085,0.1303,0.1362,0.1536,0.1621,0.1646,0.1713,0.2861,0.3757,0.5000,1.0000,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,
2016
0.5000,0.6247,0.7226,0.7267,0.7651,0.7731,0.7944,0.8073,0.8349,0.8390,0.8451,0.8551,0.9200,0.9403,0.9657,1.0000,
0.3753,0.5000,0.6101,0.6150,0.6617,0.6717,0.6989,0.7156,0.7523,0.7579,0.7662,0.7800,0.8735,0.9044,0.9441,1.0000,
0.2774,0.3899,0.5000,0.5052,0.5556,0.5667,0.5974,0.6166,0.6601,0.6668,0.6769,0.6938,0.8153,0.8581,0.9153,1.0000,
0.2733,0.3850,0.4948,0.5000,0.5504,0.5616,0.5924,0.6117,0.6554,0.6622,0.6723,0.6894,0.8122,0.8555,0.9136,1.0000,
0.2349,0.3383,0.4444,0.4496,0.5000,0.5113,0.5427,0.5626,0.6083,0.6155,0.6263,0.6444,0.7793,0.8286,0.8963,1.0000,
0.2269,0.3283,0.4333,0.4384,0.4887,0.5000,0.5315,0.5515,0.5975,0.6047,0.6156,0.6340,0.7715,0.8221,0.8920,1.0000,
